accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels
0.5566666666666666,0.528962962962963,0.6648308418568056,0.6259259259259259,0.6447920640976726,"[[324, 426], [505, 845]]",2026-09-15,svm,2100,real
0.5876190476190476,0.5355555555555556,0.6664374140302614,0.7177777777777777,0.6911554921540656,"[[265, 485], [381, 969]]",2026-09-15,random_forest,2100,real
0.5947619047619047,0.5467407407407407,0.6743535988819007,0.7148148148148148,0.693994965839626,"[[284, 466], [385, 965]]",2026-09-15,cnn_lstm,2100,real
0.5852380952380952,0.5434814814814815,0.673174258857556,0.6896296296296296,0.68130259787779,"[[298, 452], [419, 931]]",2026-09-15,ensemble,2100,real
0.5928205128205128,0.47583333333333333,0.6793548387096774,0.78,0.7262068965517241,"[[103, 497], [297, 1053]]",2026-09-16,svm,1950,real
0.5641025641025641,0.49629629629629635,0.6899696048632219,0.6725925925925926,0.6811702925731433,"[[192, 408], [442, 908]]",2026-09-16,random_forest,1950,real
0.5994871794871794,0.48944444444444446,0.6865573770491803,0.7755555555555556,0.7283478260869565,"[[122, 478], [303, 1047]]",2026-09-16,cnn_lstm,1950,real
0.6348717948717949,0.49324074074074076,0.6889810426540285,0.8614814814814815,0.7656352863726136,"[[75, 525], [187, 1163]]",2026-09-16,ensemble,1950,real
0.5775,0.5491111111111111,0.6617842876165113,0.6626666666666666,0.6622251832111925,"[[196, 254], [253, 497]]",2026-09-17,svm,1200,real
0.52,0.5751111111111111,0.7430167597765364,0.3546666666666667,0.48014440433212996,"[[358, 92], [484, 266]]",2026-09-17,random_forest,1200,real
0.46,0.5435555555555556,0.7405660377358491,0.20933333333333334,0.3264033264033264,"[[395, 55], [593, 157]]",2026-09-17,cnn_lstm,1200,real
0.5033333333333333,0.5675555555555556,0.7467948717948718,0.31066666666666665,0.4387947269303202,"[[371, 79], [517, 233]]",2026-09-17,ensemble,1200,real
0.6975,0.5272222222222223,0.7619512195121951,0.8677777777777778,0.8114285714285714,"[[56, 244], [119, 781]]",2026-09-21,svm,1200,real
0.7075,0.5316666666666666,0.7636887608069164,0.8833333333333333,0.8191653786707882,"[[54, 246], [105, 795]]",2026-09-21,random_forest,1200,real
0.7316666666666667,0.52,0.7580357142857143,0.9433333333333334,0.8405940594059406,"[[29, 271], [51, 849]]",2026-09-21,cnn_lstm,1200,real
0.7283333333333334,0.5144444444444445,0.7557932263814616,0.9422222222222222,0.8387734915924827,"[[26, 274], [52, 848]]",2026-09-21,ensemble,1200,real
0.6413333333333333,0.5184126984126984,0.70949263502455,0.8257142857142857,0.7632042253521126,"[[95, 355], [183, 867]]",2026-09-22,svm,1500,real
0.67,0.5274603174603174,0.7132974634896234,0.8838095238095238,0.7894512973202893,"[[77, 373], [122, 928]]",2026-09-22,random_forest,1500,real
0.3973333333333333,0.467936507936508,0.6566523605150214,0.2914285714285714,0.40369393139841686,"[[290, 160], [744, 306]]",2026-09-22,cnn_lstm,1500,real
0.622,0.5344444444444444,0.7197452229299363,0.7533333333333333,0.7361563517915309,"[[142, 308], [259, 791]]",2026-09-22,ensemble,1500,real
0.58,0.517,0.6257425742574257,0.79,0.6983425414364641,"[[183, 567], [252, 948]]",2026-09-24,svm,1950,real
0.5815384615384616,0.5225,0.6293800539083558,0.7783333333333333,0.6959761549925484,"[[200, 550], [266, 934]]",2026-09-24,random_forest,1950,real
0.4025641025641026,0.4965833333333334,0.5977653631284916,0.08916666666666667,0.1551849166062364,"[[678, 72], [1093, 107]]",2026-09-24,cnn_lstm,1950,real
0.5282051282051282,0.5336666666666667,0.6483050847457628,0.51,0.5708955223880597,"[[418, 332], [588, 612]]",2026-09-24,ensemble,1950,real
