held_out_date,session_dir,person_id,model,k_windows,elapsed_s,correct
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,svm,10,8.099931,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,random_forest,10,8.099931,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,hist_gradient_boost,10,8.099931,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_bilstm,10,8.099931,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_attention,10,8.099931,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,ensemble,10,8.099931,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,svm,30,17.537785,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,random_forest,30,17.537785,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,hist_gradient_boost,30,17.537785,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_bilstm,30,17.537785,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_attention,30,17.537785,0
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,ensemble,30,17.537785,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,svm,45,23.392056,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,random_forest,45,23.392056,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,hist_gradient_boost,45,23.392056,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_bilstm,45,23.392056,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_attention,45,23.392056,0
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,ensemble,45,23.392056,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,svm,60,30.303617,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,random_forest,60,30.303617,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,hist_gradient_boost,60,30.303617,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_bilstm,60,30.303617,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_attention,60,30.303617,0
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,ensemble,60,30.303617,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,svm,90,42.981412,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,random_forest,90,42.981412,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,hist_gradient_boost,90,42.981412,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_bilstm,90,42.981412,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_attention,90,42.981412,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,ensemble,90,42.981412,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,svm,120,56.379593,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,random_forest,120,56.379593,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,hist_gradient_boost,120,56.379593,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_bilstm,120,56.379593,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_attention,120,56.379593,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,ensemble,120,56.379593,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,svm,150,69.561824,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,random_forest,150,69.561824,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,hist_gradient_boost,150,69.561824,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_bilstm,150,69.561824,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_attention,150,69.561824,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,ensemble,150,69.561824,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,svm,200,94.894707,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,random_forest,200,94.894707,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,hist_gradient_boost,200,94.894707,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_bilstm,200,94.894707,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_attention,200,94.894707,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,ensemble,200,94.894707,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,svm,300,138.11321,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,random_forest,300,138.11321,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,hist_gradient_boost,300,138.11321,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_bilstm,300,138.11321,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,cnn_attention,300,138.11321,1
2026-09-15,authorized/2026-09-15/20260915_151030_anjali,anjali,ensemble,300,138.11321,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,svm,10,6.6457,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,random_forest,10,6.6457,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,hist_gradient_boost,10,6.6457,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_bilstm,10,6.6457,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_attention,10,6.6457,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,ensemble,10,6.6457,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,svm,30,19.219276,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,random_forest,30,19.219276,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,hist_gradient_boost,30,19.219276,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_bilstm,30,19.219276,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_attention,30,19.219276,0
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,ensemble,30,19.219276,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,svm,45,29.508697,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,random_forest,45,29.508697,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,hist_gradient_boost,45,29.508697,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_bilstm,45,29.508697,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_attention,45,29.508697,0
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,ensemble,45,29.508697,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,svm,60,38.892187,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,random_forest,60,38.892187,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,hist_gradient_boost,60,38.892187,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_bilstm,60,38.892187,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_attention,60,38.892187,0
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,ensemble,60,38.892187,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,svm,90,51.317357,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,random_forest,90,51.317357,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,hist_gradient_boost,90,51.317357,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_bilstm,90,51.317357,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_attention,90,51.317357,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,ensemble,90,51.317357,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,svm,120,59.531792,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,random_forest,120,59.531792,0
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,hist_gradient_boost,120,59.531792,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_bilstm,120,59.531792,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_attention,120,59.531792,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,ensemble,120,59.531792,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,svm,150,70.553311,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,random_forest,150,70.553311,0
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,hist_gradient_boost,150,70.553311,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_bilstm,150,70.553311,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_attention,150,70.553311,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,ensemble,150,70.553311,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,svm,200,103.025783,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,random_forest,200,103.025783,0
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,hist_gradient_boost,200,103.025783,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_bilstm,200,103.025783,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_attention,200,103.025783,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,ensemble,200,103.025783,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,svm,300,145.981988,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,random_forest,300,145.981988,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,hist_gradient_boost,300,145.981988,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_bilstm,300,145.981988,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,cnn_attention,300,145.981988,1
2026-09-15,authorized/2026-09-15/20260915_153434_anjali,anjali,ensemble,300,145.981988,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,svm,10,4.779959,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,random_forest,10,4.779959,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,hist_gradient_boost,10,4.779959,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_bilstm,10,4.779959,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_attention,10,4.779959,0
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,ensemble,10,4.779959,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,svm,30,14.103593,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,random_forest,30,14.103593,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,hist_gradient_boost,30,14.103593,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_bilstm,30,14.103593,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_attention,30,14.103593,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,ensemble,30,14.103593,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,svm,45,20.210739,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,random_forest,45,20.210739,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,hist_gradient_boost,45,20.210739,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_bilstm,45,20.210739,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_attention,45,20.210739,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,ensemble,45,20.210739,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,svm,60,26.881324,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,random_forest,60,26.881324,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,hist_gradient_boost,60,26.881324,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_bilstm,60,26.881324,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_attention,60,26.881324,0
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,ensemble,60,26.881324,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,svm,90,40.404991,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,random_forest,90,40.404991,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,hist_gradient_boost,90,40.404991,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_bilstm,90,40.404991,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_attention,90,40.404991,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,ensemble,90,40.404991,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,svm,120,54.820119,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,random_forest,120,54.820119,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,hist_gradient_boost,120,54.820119,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_bilstm,120,54.820119,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_attention,120,54.820119,0
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,ensemble,120,54.820119,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,svm,150,68.826973,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,random_forest,150,68.826973,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,hist_gradient_boost,150,68.826973,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_bilstm,150,68.826973,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_attention,150,68.826973,0
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,ensemble,150,68.826973,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,svm,200,92.613845,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,random_forest,200,92.613845,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,hist_gradient_boost,200,92.613845,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_bilstm,200,92.613845,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_attention,200,92.613845,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,ensemble,200,92.613845,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,svm,300,142.041143,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,random_forest,300,142.041143,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,hist_gradient_boost,300,142.041143,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_bilstm,300,142.041143,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,cnn_attention,300,142.041143,1
2026-09-15,authorized/2026-09-15/20260915_153933_anjali,anjali,ensemble,300,142.041143,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,svm,10,5.893862,0
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,random_forest,10,5.893862,0
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,hist_gradient_boost,10,5.893862,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,cnn_bilstm,10,5.893862,0
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,cnn_attention,10,5.893862,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,ensemble,10,5.893862,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,svm,30,28.245649,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,random_forest,30,28.245649,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,hist_gradient_boost,30,28.245649,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,cnn_bilstm,30,28.245649,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,cnn_attention,30,28.245649,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,ensemble,30,28.245649,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,svm,45,35.976619,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,random_forest,45,35.976619,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,hist_gradient_boost,45,35.976619,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,cnn_bilstm,45,35.976619,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,cnn_attention,45,35.976619,1
