accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels,granularity
0.3425925925925926,0.47777777777777775,0.3225152129817444,0.8833333333333333,0.4725111441307578,"[[26, 334], [21, 159]]",2026-09-15,svm,540,shuffled_0,window
0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,"[[0, 6], [0, 3]]",2026-09-15,svm,9,shuffled_0,session
0.34814814814814815,0.45555555555555555,0.30973451327433627,0.7777777777777778,0.4430379746835443,"[[48, 312], [40, 140]]",2026-09-15,random_forest,540,shuffled_0,window
0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,"[[0, 6], [0, 3]]",2026-09-15,random_forest,9,shuffled_0,session
0.46111111111111114,0.43194444444444446,0.26382978723404255,0.34444444444444444,0.2987951807228916,"[[187, 173], [118, 62]]",2026-09-15,cnn_lstm,540,shuffled_0,window
0.2222222222222222,0.25,0.16666666666666666,0.3333333333333333,0.2222222222222222,"[[1, 5], [2, 1]]",2026-09-15,cnn_lstm,9,shuffled_0,session
0.34074074074074073,0.531547619047619,0.8404255319148937,0.1880952380952381,0.30739299610894943,"[[105, 15], [341, 79]]",2026-09-16,svm,540,shuffled_0,window
0.2222222222222222,0.5,0.0,0.0,0.0,"[[2, 0], [7, 0]]",2026-09-16,svm,9,shuffled_0,session
0.46111111111111114,0.5821428571428572,0.864406779661017,0.36428571428571427,0.5125628140703518,"[[96, 24], [267, 153]]",2026-09-16,random_forest,540,shuffled_0,window
0.4444444444444444,0.6428571428571428,1.0,0.2857142857142857,0.4444444444444444,"[[2, 0], [5, 2]]",2026-09-16,random_forest,9,shuffled_0,session
0.46111111111111114,0.5375000000000001,0.8115942028985508,0.4,0.5358851674641149,"[[81, 39], [252, 168]]",2026-09-16,cnn_lstm,540,shuffled_0,window
0.5555555555555556,0.7142857142857143,1.0,0.42857142857142855,0.6,"[[2, 0], [4, 3]]",2026-09-16,cnn_lstm,9,shuffled_0,session
0.61,0.5444444444444445,0.6254980079681275,0.8722222222222222,0.728538283062645,"[[26, 94], [23, 157]]",2026-09-17,svm,300,shuffled_0,window
0.6,0.5,0.6,1.0,0.75,"[[0, 2], [0, 3]]",2026-09-17,svm,5,shuffled_0,session
