accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels,granularity
0.7066666666666667,0.6991666666666667,0.6841155234657039,0.6316666666666667,0.6568457538994801,"[[575, 175], [221, 379]]",2026-09-15,svm,1350,real,window
0.8888888888888888,0.9,0.8,1.0,0.8888888888888888,"[[4, 1], [0, 4]]",2026-09-15,svm,9,real,session
0.7311111111111112,0.7215,0.7257142857142858,0.635,0.6773333333333333,"[[606, 144], [219, 381]]",2026-09-15,random_forest,1350,real,window
1.0,1.0,1.0,1.0,1.0,"[[5, 0], [0, 4]]",2026-09-15,random_forest,9,real,session
0.7711111111111111,0.7586666666666666,0.8,0.6466666666666666,0.7152073732718894,"[[653, 97], [212, 388]]",2026-09-15,hist_gradient_boost,1350,real,window
0.8888888888888888,0.875,1.0,0.75,0.8571428571428571,"[[5, 0], [1, 3]]",2026-09-15,hist_gradient_boost,9,real,session
0.7755555555555556,0.7625,0.8113207547169812,0.645,0.7186629526462396,"[[660, 90], [213, 387]]",2026-09-15,cnn_bilstm,1350,real,window
1.0,1.0,1.0,1.0,1.0,"[[5, 0], [0, 4]]",2026-09-15,cnn_bilstm,9,real,session
0.662962962962963,0.6788333333333334,0.5862068965517241,0.8216666666666667,0.6842470506592644,"[[402, 348], [107, 493]]",2026-09-15,cnn_attention,1350,real,window
1.0,1.0,1.0,1.0,1.0,"[[5, 0], [0, 4]]",2026-09-15,cnn_attention,9,real,session
0.7777777777777778,0.768,0.7906976744186046,0.68,0.7311827956989247,"[[642, 108], [192, 408]]",2026-09-15,ensemble,1350,real,window
1.0,1.0,1.0,1.0,1.0,"[[5, 0], [0, 4]]",2026-09-15,ensemble,9,real,session
0.6022222222222222,0.4777777777777778,0.6552609067579127,0.8511111111111112,0.7404543257612373,"[[47, 403], [134, 766]]",2026-09-16,svm,1350,real,window
0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,"[[0, 3], [0, 6]]",2026-09-16,svm,9,real,session
0.6074074074074074,0.495,0.6640070921985816,0.8322222222222222,0.7386587771203156,"[[71, 379], [151, 749]]",2026-09-16,random_forest,1350,real,window
0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,"[[0, 3], [0, 6]]",2026-09-16,random_forest,9,real,session
0.6762962962962963,0.5516666666666666,0.6924355777223608,0.9255555555555556,0.7922016167379934,"[[80, 370], [67, 833]]",2026-09-16,hist_gradient_boost,1350,real,window
0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,"[[0, 3], [0, 6]]",2026-09-16,hist_gradient_boost,9,real,session
0.7844444444444445,0.7605555555555555,0.84251968503937,0.8322222222222222,0.8373392956959195,"[[310, 140], [151, 749]]",2026-09-16,cnn_bilstm,1350,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 6]]",2026-09-16,cnn_bilstm,9,real,session
0.84,0.8166666666666667,0.875,0.8866666666666667,0.8807947019867549,"[[336, 114], [102, 798]]",2026-09-16,cnn_attention,1350,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 6]]",2026-09-16,cnn_attention,9,real,session
0.7303703703703703,0.6233333333333333,0.7302405498281787,0.9444444444444444,0.8236434108527132,"[[136, 314], [50, 850]]",2026-09-16,ensemble,1350,real,window
0.7777777777777778,0.6666666666666666,0.75,1.0,0.8571428571428571,"[[1, 2], [0, 6]]",2026-09-16,ensemble,9,real,session
0.5906666666666667,0.643888888888889,0.4936708860759494,0.91,0.6400937866354045,"[[170, 280], [27, 273]]",2026-09-17,svm,750,real,window
0.6,0.6666666666666666,0.5,1.0,0.6666666666666666,"[[1, 2], [0, 2]]",2026-09-17,svm,5,real,session
0.5266666666666666,0.5922222222222222,0.4546952224052718,0.92,0.6085997794928335,"[[119, 331], [24, 276]]",2026-09-17,random_forest,750,real,window
0.4,0.5,0.4,1.0,0.5714285714285714,"[[0, 3], [0, 2]]",2026-09-17,random_forest,5,real,session
0.584,0.6477777777777778,0.48986486486486486,0.9666666666666667,0.6502242152466368,"[[148, 302], [10, 290]]",2026-09-17,hist_gradient_boost,750,real,window
0.4,0.5,0.4,1.0,0.5714285714285714,"[[0, 3], [0, 2]]",2026-09-17,hist_gradient_boost,5,real,session
0.5106666666666667,0.5911111111111111,0.4494720965309201,0.9933333333333333,0.6188992731048806,"[[85, 365], [2, 298]]",2026-09-17,cnn_bilstm,750,real,window
0.4,0.5,0.4,1.0,0.5714285714285714,"[[0, 3], [0, 2]]",2026-09-17,cnn_bilstm,5,real,session
0.6893333333333334,0.7322222222222222,0.5668662674650699,0.9466666666666667,0.7091136079900124,"[[233, 217], [16, 284]]",2026-09-17,cnn_attention,750,real,window
0.6,0.6666666666666666,0.5,1.0,0.6666666666666666,"[[1, 2], [0, 2]]",2026-09-17,cnn_attention,5,real,session
0.58,0.6477777777777778,0.4876441515650741,0.9866666666666667,0.6527012127894156,"[[139, 311], [4, 296]]",2026-09-17,ensemble,750,real,window
0.4,0.5,0.4,1.0,0.5714285714285714,"[[0, 3], [0, 2]]",2026-09-17,ensemble,5,real,session
0.7233333333333334,0.7233333333333334,0.7258426966292135,0.7177777777777777,0.7217877094972067,"[[328, 122], [127, 323]]",2026-09-21,svm,900,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 3]]",2026-09-21,svm,6,real,session
0.72,0.72,0.7152173913043478,0.7311111111111112,0.7230769230769231,"[[319, 131], [121, 329]]",2026-09-21,random_forest,900,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 3]]",2026-09-21,random_forest,6,real,session
0.7855555555555556,0.7855555555555556,0.7775377969762419,0.8,0.7886089813800657,"[[347, 103], [90, 360]]",2026-09-21,hist_gradient_boost,900,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 3]]",2026-09-21,hist_gradient_boost,6,real,session
0.7588888888888888,0.758888888888889,0.7219047619047619,0.8422222222222222,0.7774358974358975,"[[304, 146], [71, 379]]",2026-09-21,cnn_bilstm,900,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 3]]",2026-09-21,cnn_bilstm,6,real,session
0.7455555555555555,0.7455555555555555,0.6826446280991736,0.9177777777777778,0.7829383886255924,"[[258, 192], [37, 413]]",2026-09-21,cnn_attention,900,real,window
0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,"[[2, 1], [0, 3]]",2026-09-21,cnn_attention,6,real,session
0.7877777777777778,0.7877777777777778,0.7564356435643564,0.8488888888888889,0.8,"[[327, 123], [68, 382]]",2026-09-21,ensemble,900,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 3]]",2026-09-21,ensemble,6,real,session
0.7571428571428571,0.7466666666666666,0.7372262773722628,0.6733333333333333,0.7038327526132404,"[[492, 108], [147, 303]]",2026-09-22,svm,1050,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 3]]",2026-09-22,svm,7,real,session
0.7380952380952381,0.72,0.7437325905292479,0.5933333333333334,0.6600741656365884,"[[508, 92], [183, 267]]",2026-09-22,random_forest,1050,real,window
