accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels
0.5154761904761904,0.5154761904761904,0.5086782376502003,0.9071428571428571,0.6518391787852865,"[[52, 368], [39, 381]]",2026-09-15,svm,840,shuffled_0
0.49404761904761907,0.49404761904761907,0.49695493300852617,0.9714285714285714,0.6575342465753424,"[[7, 413], [12, 408]]",2026-09-15,random_forest,840,shuffled_0
0.4928571428571429,0.4928571428571428,0.4963855421686747,0.9809523809523809,0.6592,"[[2, 418], [8, 412]]",2026-09-15,cnn_lstm,840,shuffled_0
0.3243589743589744,0.43833333333333335,0.6834170854271356,0.22666666666666666,0.3404255319148936,"[[117, 63], [464, 136]]",2026-09-16,svm,780,shuffled_0
0.3641025641025641,0.42722222222222217,0.6940298507462687,0.31,0.42857142857142855,"[[98, 82], [414, 186]]",2026-09-16,random_forest,780,shuffled_0
0.7512820512820513,0.5019444444444444,0.7699468085106383,0.965,0.856508875739645,"[[7, 173], [21, 579]]",2026-09-16,cnn_lstm,780,shuffled_0
0.41041666666666665,0.4847222222222222,0.7333333333333333,0.33611111111111114,0.46095238095238095,"[[76, 44], [239, 121]]",2026-09-17,svm,480,shuffled_0
0.4083333333333333,0.5333333333333333,0.796875,0.2833333333333333,0.4180327868852459,"[[94, 26], [258, 102]]",2026-09-17,random_forest,480,shuffled_0
0.3770833333333333,0.5180555555555556,0.7798165137614679,0.2361111111111111,0.3624733475479744,"[[96, 24], [275, 85]]",2026-09-17,cnn_lstm,480,shuffled_0
0.6,0.48333333333333334,0.7413793103448276,0.7166666666666667,0.7288135593220338,"[[30, 90], [102, 258]]",2026-09-21,svm,480,shuffled_0
0.66875,0.5208333333333334,0.7596899224806202,0.8166666666666667,0.7871485943775101,"[[27, 93], [66, 294]]",2026-09-21,random_forest,480,shuffled_0
0.2708333333333333,0.45555555555555555,0.5961538461538461,0.08611111111111111,0.15048543689320387,"[[99, 21], [329, 31]]",2026-09-21,cnn_lstm,480,shuffled_0
0.5883333333333334,0.45992063492063495,0.6790890269151139,0.780952380952381,0.7264673311184939,"[[25, 155], [92, 328]]",2026-09-22,svm,600,shuffled_0
0.6266666666666667,0.4603174603174603,0.6814814814814815,0.8761904761904762,0.7666666666666667,"[[8, 172], [52, 368]]",2026-09-22,random_forest,600,shuffled_0
0.6766666666666666,0.4865079365079365,0.6941580756013745,0.9619047619047619,0.8063872255489022,"[[2, 178], [16, 404]]",2026-09-22,cnn_lstm,600,shuffled_0
0.5576923076923077,0.491875,0.6104746317512275,0.7770833333333333,0.6837763519706691,"[[62, 238], [107, 373]]",2026-09-24,svm,780,shuffled_0
0.5846153846153846,0.49374999999999997,0.6120689655172413,0.8875,0.7244897959183674,"[[30, 270], [54, 426]]",2026-09-24,random_forest,780,shuffled_0
0.4128205128205128,0.5035416666666667,0.6309523809523809,0.11041666666666666,0.1879432624113475,"[[269, 31], [427, 53]]",2026-09-24,cnn_lstm,780,shuffled_0
0.5166666666666667,0.5222222222222223,0.5948717948717949,0.48333333333333334,0.5333333333333333,"[[202, 158], [248, 232]]",2026-09-15,svm,840,shuffled_1
0.5,0.4888888888888889,0.5619834710743802,0.5666666666666667,0.5643153526970954,"[[148, 212], [208, 272]]",2026-09-15,random_forest,840,shuffled_1
0.46904761904761905,0.48020833333333335,0.5482954545454546,0.40208333333333335,0.4639423076923077,"[[201, 159], [287, 193]]",2026-09-15,cnn_lstm,840,shuffled_1
0.49743589743589745,0.5216666666666667,0.6410256410256411,0.4166666666666667,0.5050505050505051,"[[188, 112], [280, 200]]",2026-09-16,svm,780,shuffled_1
0.4282051282051282,0.5060416666666667,0.6328125,0.16875,0.26644736842105265,"[[253, 47], [399, 81]]",2026-09-16,random_forest,780,shuffled_1
0.382051282051282,0.49666666666666665,0.0,0.0,0.0,"[[298, 2], [480, 0]]",2026-09-16,cnn_lstm,780,shuffled_1
0.43125,0.5338888888888889,0.7872340425531915,0.12333333333333334,0.2132564841498559,"[[170, 10], [263, 37]]",2026-09-17,svm,480,shuffled_1
0.3729166666666667,0.48944444444444446,0.4666666666666667,0.023333333333333334,0.044444444444444446,"[[172, 8], [293, 7]]",2026-09-17,random_forest,480,shuffled_1
0.5770833333333333,0.5294444444444444,0.6447761194029851,0.72,0.6803149606299213,"[[61, 119], [84, 216]]",2026-09-17,cnn_lstm,480,shuffled_1
0.63125,0.45972222222222225,0.7316455696202532,0.8027777777777778,0.7655629139072848,"[[14, 106], [71, 289]]",2026-09-21,svm,480,shuffled_1
0.675,0.46388888888888885,0.7350230414746544,0.8861111111111111,0.8035264483627204,"[[5, 115], [41, 319]]",2026-09-21,random_forest,480,shuffled_1
0.6145833333333334,0.5430555555555556,0.774294670846395,0.6861111111111111,0.727540500736377,"[[48, 72], [113, 247]]",2026-09-21,cnn_lstm,480,shuffled_1
0.68,0.49523809523809526,0.6979166666666666,0.9571428571428572,0.8072289156626506,"[[6, 174], [18, 402]]",2026-09-22,svm,600,shuffled_1
0.6966666666666667,0.5103174603174603,0.7044673539518901,0.9761904761904762,0.8183632734530938,"[[8, 172], [10, 410]]",2026-09-22,random_forest,600,shuffled_1
0.6916666666666667,0.5273809523809524,0.7124773960216998,0.9380952380952381,0.8098663926002055,"[[21, 159], [26, 394]]",2026-09-22,cnn_lstm,600,shuffled_1
0.7217948717948718,0.4944444444444444,0.7670850767085077,0.9166666666666666,0.8352315869400152,"[[13, 167], [50, 550]]",2026-09-24,svm,780,shuffled_1
0.7384615384615385,0.48583333333333334,0.764,0.955,0.8488888888888889,"[[3, 177], [27, 573]]",2026-09-24,random_forest,780,shuffled_1
0.6615384615384615,0.4961111111111111,0.767515923566879,0.8033333333333333,0.7850162866449512,"[[34, 146], [118, 482]]",2026-09-24,cnn_lstm,780,shuffled_1
0.26666666666666666,0.5171717171717172,0.8666666666666667,0.07878787878787878,0.14444444444444443,"[[172, 8], [608, 52]]",2026-09-15,svm,840,shuffled_2
0.28809523809523807,0.5328282828282829,0.9078947368421053,0.10454545454545454,0.1875,"[[173, 7], [591, 69]]",2026-09-15,random_forest,840,shuffled_2
0.5976190476190476,0.45505050505050504,0.7648026315789473,0.7045454545454546,0.7334384858044164,"[[37, 143], [195, 465]]",2026-09-15,cnn_lstm,840,shuffled_2
0.4794871794871795,0.5073412698412698,0.46577380952380953,0.8694444444444445,0.6065891472868217,"[[61, 359], [47, 313]]",2026-09-16,svm,780,shuffled_2
0.49230769230769234,0.5238095238095238,0.4745762711864407,0.9333333333333333,0.6292134831460674,"[[48, 372], [24, 336]]",2026-09-16,random_forest,780,shuffled_2
0.4756410256410256,0.5023809523809524,0.4629349470499244,0.85,0.5994123408423114,"[[65, 355], [54, 306]]",2026-09-16,cnn_lstm,780,shuffled_2
0.5875,0.5344444444444445,0.6473988439306358,0.7466666666666667,0.6934984520123839,"[[58, 122], [76, 224]]",2026-09-17,svm,480,shuffled_2
0.5833333333333334,0.5233333333333333,0.6396648044692738,0.7633333333333333,0.6960486322188449,"[[51, 129], [71, 229]]",2026-09-17,random_forest,480,shuffled_2
0.3729166666666667,0.43166666666666664,0.4957983193277311,0.19666666666666666,0.28162291169451076,"[[120, 60], [241, 59]]",2026-09-17,cnn_lstm,480,shuffled_2
0.5791666666666667,0.4722222222222222,0.7351190476190477,0.6861111111111111,0.7097701149425287,"[[31, 89], [113, 247]]",2026-09-21,svm,480,shuffled_2
0.5541666666666667,0.4472222222222222,0.7212121212121212,0.6611111111111111,0.6898550724637681,"[[28, 92], [122, 238]]",2026-09-21,random_forest,480,shuffled_2
0.6791666666666667,0.475,0.7395348837209302,0.8833333333333333,0.8050632911392405,"[[8, 112], [42, 318]]",2026-09-21,cnn_lstm,480,shuffled_2
