accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,feature,labels,granularity
0.7049847405900305,0.5037095524700554,0.7055214723926381,0.9971098265895953,0.8263473053892215,"[[3, 288], [2, 690]]",2026-09-15,svm,doppler,real,window
0.6428571428571429,0.5,0.6428571428571429,1.0,0.782608695652174,"[[0, 5], [0, 9]]",2026-09-15,svm,doppler,real,session
0.5584944048830112,0.4942519317482073,0.7003105590062112,0.6517341040462428,0.6751497005988024,"[[98, 193], [241, 451]]",2026-09-15,random_forest,doppler,real,window
0.5714285714285714,0.48888888888888893,0.6363636363636364,0.7777777777777778,0.7,"[[1, 4], [2, 7]]",2026-09-15,random_forest,doppler,real,session
0.7390374331550802,0.5,0.7390374331550802,1.0,0.8499384993849939,"[[0, 244], [0, 691]]",2026-09-16,svm,doppler,real,window
0.6923076923076923,0.5,0.6923076923076923,1.0,0.8181818181818182,"[[0, 4], [0, 9]]",2026-09-16,svm,doppler,real,session
0.4556149732620321,0.5084132049061707,0.7472826086956522,0.3979739507959479,0.5193578847969783,"[[151, 93], [416, 275]]",2026-09-16,random_forest,doppler,real,window
0.46153846153846156,0.5416666666666666,0.75,0.3333333333333333,0.46153846153846156,"[[3, 1], [6, 3]]",2026-09-16,random_forest,doppler,real,session
0.6123853211009175,0.5,0.6123853211009175,1.0,0.7596017069701281,"[[0, 169], [0, 267]]",2026-09-17,svm,doppler,real,window
0.625,0.5,0.625,1.0,0.7692307692307693,"[[0, 3], [0, 5]]",2026-09-17,svm,doppler,real,session
0.5504587155963303,0.5037342375285331,0.6148867313915858,0.7116104868913857,0.6597222222222222,"[[50, 119], [77, 190]]",2026-09-17,random_forest,doppler,real,window
0.75,0.6666666666666666,0.7142857142857143,1.0,0.8333333333333334,"[[1, 2], [0, 5]]",2026-09-17,random_forest,doppler,real,session
0.7484375,0.5010416666666667,0.750392464678179,0.9958333333333333,0.855863921217547,"[[1, 159], [2, 478]]",2026-09-21,svm,doppler,real,window
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 2], [0, 6]]",2026-09-21,svm,doppler,real,session
0.371875,0.50625,0.76,0.2375,0.3619047619047619,"[[124, 36], [366, 114]]",2026-09-21,random_forest,doppler,real,window
0.25,0.5,0.0,0.0,0.0,"[[2, 0], [6, 0]]",2026-09-21,random_forest,doppler,real,session
0.68,0.4880952380952381,0.6948717948717948,0.9678571428571429,0.808955223880597,"[[2, 238], [18, 542]]",2026-09-22,svm,doppler,real,window
