seq,device_time_us,host_recv_time_ns,first_word_invalid,rssi,channel_primary,channel_secondary,sig_mode,mcs,cwb,stbc,noise_floor,wifi_rx_seq,csi_len,src_mac,dst_mac,csi_iq_pairs
223014,1164562610,1788947575191577108,False,-58,1,1,0,0,0,0,-128,0,128,70:cd:0d:c1:02:28,d8:47:32:79:d4:68,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(1,-2);(1,-1);(2,0);(1,1);(1,2);(1,2);(1,3);(0,4);(0,4);(-1,5);(-1,5);(-1,7);(-2,7);(-2,7);(-3,8);(-4,9);(-4,9);(-5,10);(-6,10);(-6,11);(-6,11);(-7,11);(-6,11);(-7,11);(-7,12);(-7,12);(0,0);(-7,13);(-7,14);(-8,14);(-8,15);(-8,15);(-8,15);(-9,15);(-8,15);(-9,16);(-8,16);(-8,16);(-8,16);(-8,15);(-8,16);(-8,16);(-8,16);(-7,16);(-7,17);(-7,16);(-7,17);(-7,17);(-7,16);(-7,16);(-7,16);(-6,16);(-7,16);(0,0);(0,0);(0,0);(0,0);(0,0)"
223015,1164678032,1788947575191628595,False,-60,1,1,0,0,0,0,-128,0,128,70:cd:0d:c1:02:28,d8:47:32:79:d4:68,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(0,-2);(0,-3);(1,-3);(2,-3);(3,-2);(4,-2);(4,-2);(5,-2);(6,-1);(6,-1);(7,0);(8,0);(8,0);(9,0);(9,1);(10,1);(10,1);(11,2);(11,2);(11,3);(12,2);(12,3);(12,2);(12,3);(13,2);(13,2);(0,0);(14,1);(15,2);(15,1);(15,1);(16,1);(17,1);(17,1);(17,1);(17,1);(17,1);(17,1);(17,1);(17,1);(18,0);(17,0);(17,0);(18,0);(18,-1);(18,-1);(18,-1);(18,-1);(18,-1);(17,-1);(18,0);(18,0);(17,0);(0,0);(0,0);(0,0);(0,0);(0,0)"
223016,1164682566,1788947575195204230,False,-43,1,1,1,7,1,1,-128,3433,372,d8:47:32:79:d4:68,ac:27:6e:a5:5b:c8,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(6,-2);(7,-1);(7,-1);(8,-1);(8,-1);(8,-1);(7,-2);(7,-3);(7,-3);(7,-4);(7,-4);(7,-5);(7,-5);(7,-5);(8,-5);(8,-5);(8,-5);(7,-5);(7,-5);(7,-5);(6,-5);(5,-5);(4,-6);(3,-6);(2,-7);(2,-8);(0,0);(1,-10);(1,-10);(1,-11);(1,-11);(2,-11);(2,-10);(2,-9);(2,-8);(2,-7);(1,-6);(-1,-4);(-2,-3);(-4,-3);(-6,-3);(-8,-3);(-10,-4);(-11,-5);(-11,-6);(-11,-7);(-10,-8);(-9,-9);(-7,-9);(-6,-8);(-4,-6);(-3,-4);(-2,-1);(0,0);(0,0);(0,0);(0,0);(0,0);(-34,0);(0,0);(-9,35);(-28,23);(-34,-2);(-29,-21);(-7,-35);(15,-31);(30,-14);(30,6);(20,23);(1,30);(-18,24);(-30,9);(-29,-11);(-17,-26);(1,-31);(20,-22);(28,-5);(25,11);(12,24);(-6,27);(-22,19);(-30,2);(-24,-16);(-10,-26);(8,-27);(22,-17);(27,0);(22,17);(7,28);(-12,27);(-26,15);(-30,-5);(-22,-24);(-2,-32);(18,-26);(30,-10);(29,12);(15,26);(-6,31);(-23,20);(-31,2);(-25,-18);(-9,-30);(12,-28);(26,-14);(30,7);(18,24);(-1,31);(-19,23);(-30,5);(-26,-15);(-11,-28);(9,-28);(24,-16);(27,3);(17,19);(0,24);(0,0);(0,0);(0,0);(0,0);(-1,-2);(2,-1);(3,0);(1,2);(-2,2);(-3,1);(-4,-1);(-2,-4);(2,-4);(4,-2);(4,3);(2,4);(-2,3);(-6,1);(-6,-3);(-4,-5);(-1,-7);(5,-6);(8,-2);(7,4);(3,8);(-4,9);(-9,5);(-12,-2);(-8,-9);(-1,-13);(8,-11);(12,-5);(14,5);(8,13);(-2,17);(-14,11);(-18,1);(-16,-10);(-6,-18);(8,-19);(19,-11);(23,4);(15,18);(0,25);(-16,19);(-28,5);(-26,-12);(-12,-26);(6,-30);(22,-18);(29,1);(23,18);(4,31);(-16,28);(-31,11);(-32,-11);(-18,-29);(5,-35);(26,-25);(34,-3);(28,20);(0,0);(0,0)"
223017,1164685973,1788947575201162943,False,-43,1,1,1,7,1,1,-128,3435,372,d8:47:32:79:d4:68,ac:27:6e:a5:5b:c8,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(5,5);(5,4);(6,5);(7,5);(7,5);(8,5);(8,5);(8,5);(8,5);(8,6);(8,5);(7,5);(7,4);(7,3);(7,3);(8,2);(8,1);(9,0);(10,0);(10,0);(11,0);(12,0);(12,0);(12,0);(11,1);(11,1);(0,0);(9,0);(8,0);(6,-1);(5,-3);(4,-4);(4,-5);(4,-7);(4,-9);(4,-10);(5,-11);(7,-11);(8,-11);(8,-10);(9,-9);(8,-8);(7,-6);(5,-5);(3,-4);(0,-3);(-3,-3);(-5,-4);(-7,-5);(-8,-7);(-9,-10);(-9,-11);(-9,-13);(0,0);(0,0);(0,0);(0,0);(0,0);(-29,0);(0,0);(32,-10);(32,14);(15,31);(-8,33);(-28,19);(-34,-1);(-25,-22);(-6,-31);(15,-28);(28,-12);(28,8);(17,26);(-3,30);(-20,21);(-31,5);(-26,-14);(-12,-27);(8,-28);(23,-18);(27,0);(22,18);(5,28);(-13,25);(-25,11);(-28,-6);(-18,-24);(-1,-28);(17,-24);(29,-8);(28,12);(16,27);(-7,30);(-26,20);(-33,-1);(-24,-22);(-6,-33);(15,-28);(29,-12);(29,10);(15,26);(-5,32);(-24,20);(-33,0);(-26,-20);(-6,-32);(17,-27);(29,-11);(30,10);(15,27);(-6,30);(-25,19);(-31,-2);(-23,-21);(-4,-29);(15,-24);(26,-7);(22,11);(0,0);(0,0);(0,0);(0,0);(0,1);(-2,1);(-3,-1);(-2,-3);(0,-3);(2,-2);(3,1);(1,3);(-3,2);(-5,-1);(-4,-5);(0,-6);(2,-4);(4,-1);(3,3);(1,4);(-4,6);(-7,2);(-9,-2);(-5,-7);(0,-9);(6,-7);(9,-2);(9,5);(3,10);(-5,12);(-13,7);(-14,-1);(-10,-11);(0,-15);(9,-12);(16,-3);(14,8);(6,17);(-7,17);(-17,11);(-22,-3);(-16,-17);(0,-24);(17,-20);(26,-5);(22,14);(10,26);(-10,27);(-25,15);(-30,-5);(-20,-23);(0,-31);(21,-24);(32,-6);(27,17);(11,31);(-14,30);(-30,16);(-34,-9);(-22,-30);(2,-36);(0,0);(0,0)"
223018,1164693552,1788947575206353729,False,-44,1,1,1,6,1,1,-128,3436,372,d8:47:32:79:d4:68,ac:27:6e:a5:5b:c8,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(-8,-2);(-8,-2);(-9,-2);(-9,-2);(-10,-2);(-10,-1);(-11,-1);(-11,-1);(-11,-1);(-11,-1);(-10,-1);(-10,-1);(-10,0);(-9,0);(-9,1);(-9,2);(-9,3);(-9,4);(-9,5);(-10,5);(-10,6);(-11,6);(-11,7);(-11,6);(-11,6);(-10,6);(0,0);(-8,4);(-7,4);(-6,4);(-4,4);(-2,5);(0,6);(1,7);(2,8);(3,10);(3,11);(2,12);(1,13);(0,13);(-1,12);(-2,11);(-2,9);(-2,6);(-1,4);(0,1);(2,0);(5,-2);(7,-2);(9,-2);(12,-1);(13,0);(14,1);(0,0);(0,0);(0,0);(0,0);(0,0);(-35,0);(0,0);(-12,34);(-31,20);(-35,-3);(-26,-25);(-7,-33);(16,-31);(29,-13);(32,9);(18,25);(1,32);(-19,25);(-31,9);(-29,-11);(-17,-26);(3,-30);(21,-22);(29,-7);(26,12);(14,25);(-4,30);(-22,20);(-29,3);(-26,-16);(-13,-28);(7,-30);(22,-19);(32,-1);(25,17);(9,29);(-11,28);(-28,17);(-35,-5);(-24,-24);(-5,-35);(19,-31);(32,-13);(33,10);(19,28);(-2,34);(-24,23);(-33,4);(-30,-18);(-12,-30);(9,-31);(26,-18);(32,2);(22,24);(2,32);(-19,28);(-33,9);(-33,-12);(-18,-29);(5,-32);(23,-20);(29,0);(19,18);(3,26);(0,0);(0,0);(0,0);(0,0);(1,-2);(0,-2);(2,1);(-1,2);(-2,1);(-4,-1);(-1,-3);(0,-4);(3,-3);(5,0);(3,2);(-1,4);(-5,3);(-6,0);(-6,-3);(-2,-7);(2,-5);(6,-5);(7,2);(5,6);(0,9);(-6,9);(-11,1);(-11,-4);(-7,-11);(1,-13);(9,-9);(15,0);(11,8);(5,16);(-7,16);(-14,9);(-18,-4);(-14,-15);(-2,-20);(12,-17);(20,-6);(21,9);(11,21);(-5,25);(-21,16);(-29,2);(-23,-18);(-7,-28);(13,-29);(27,-14);(30,6);(20,25);(-1,33);(-21,26);(-33,7);(-30,-16);(-14,-34);(10,-35);(30,-22);(35,2);(26,25);(0,0);(0,0)"
223019,1164701911,1788947575213889329,False,-44,1,1,1,7,1,1,-128,3437,372,d8:47:32:79:d4:68,ac:27:6e:a5:5b:c8,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(0,7);(1,7);(1,8);(2,8);(2,9);(3,9);(3,9);(4,10);(3,10);(3,9);(3,8);(3,8);(4,7);(4,6);(5,5);(5,4);(7,4);(8,3);(9,3);(10,3);(11,3);(11,3);(11,3);(11,3);(11,3);(11,3);(0,0);(8,2);(7,1);(6,0);(4,-2);(3,-3);(3,-6);(2,-7);(2,-9);(3,-11);(4,-12);(5,-12);(6,-12);(7,-12);(7,-11);(7,-8);(6,-7);(4,-5);(2,-3);(0,-1);(-3,-1);(-6,0);(-9,-1);(-11,-2);(-13,-4);(-14,-5);(-14,-7);(0,0);(0,0);(0,0);(0,0);(0,0);(-31,0);(0,0);(26,-28);(38,-5);(33,20);(12,34);(-12,32);(-31,17);(-35,-6);(-24,-26);(-4,-33);(18,-30);(31,-14);(32,9);(17,26);(-3,31);(-22,23);(-33,5);(-28,-16);(-13,-30);(7,-30);(23,-20);(30,-1);(23,18);(6,30);(-13,27);(-29,15);(-33,-5);(-22,-23);(-3,-32);(16,-27);(31,-10);(31,12);(17,31);(-5,35);(-26,24);(-36,2);(-29,-21);(-10,-33);(14,-30);(30,-14);(33,9);(20,28);(-2,33);(-23,24);(-32,5);(-29,-17);(-10,-30);(13,-30);(28,-15);(33,7);(22,27);(1,34);(-20,24);(-29,4);(-25,-16);(-8,-27);(12,-24);(23,-11);(0,0);(0,0);(0,0);(0,0);(-1,2);(-3,1);(-3,-2);(0,-3);(2,-3);(4,0);(3,5);(0,6);(-4,6);(-6,1);(-6,-4);(-1,-7);(4,-7);(7,-3);(7,2);(4,8);(-2,9);(-8,6);(-11,-1);(-8,-9);(0,-13);(9,-11);(14,-4);(12,5);(6,11);(-2,14);(-12,10);(-17,-1);(-13,-11);(-4,-18);(8,-18);(18,-9);(20,4);(12,15);(-2,21);(-17,15);(-25,2);(-22,-14);(-9,-26);(11,-27);(25,-15);(28,4);(19,23);(-1,31);(-22,25);(-35,6);(-32,-16);(-15,-32);(10,-33);(28,-19);(35,4);(24,28);(1,38);(-24,30);(-37,8);(-36,-17);(-16,-35);(0,0);(0,0)"
223020,1164705316,1788947575333678364,False,-59,1,1,0,0,0,0,-128,0,128,70:cd:0d:c1:02:28,d8:47:32:79:d4:68,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(-2,1);(-3,1);(-4,0);(-4,-1);(-4,-1);(-5,-2);(-5,-2);(-5,-3);(-5,-4);(-6,-4);(-6,-5);(-6,-6);(-6,-6);(-7,-7);(-7,-8);(-7,-8);(-7,-9);(-7,-9);(-7,-10);(-7,-11);(-7,-10);(-7,-11);(-7,-11);(-7,-11);(-8,-12);(-8,-11);(0,0);(-9,-12);(-9,-12);(-10,-12);(-10,-13);(-10,-13);(-11,-13);(-11,-14);(-11,-13);(-11,-14);(-11,-13);(-11,-13);(-11,-13);(-11,-13);(-12,-13);(-12,-13);(-12,-13);(-12,-12);(-13,-13);(-12,-12);(-13,-12);(-13,-12);(-12,-12);(-12,-12);(-12,-12);(-12,-12);(-12,-11);(0,0);(0,0);(0,0);(0,0);(0,0)"
223021,1164706353,1788947575333707966,False,-78,1,1,0,0,0,0,-128,0,128,70:cd:0d:c1:02:28,d8:47:32:79:d4:68,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(4,4);(2,5);(0,6);(-1,5);(-3,5);(-4,4);(-5,4);(-6,3);(-7,2);(-7,3);(-8,3);(-9,3);(-10,3);(-11,3);(-12,3);(-13,3);(-14,3);(-15,3);(-16,3);(-18,3);(-18,2);(-19,1);(-20,1);(-20,0);(-20,0);(-20,0);(0,0);(-20,-1);(-20,-1);(-20,-1);(-19,-1);(-19,-1);(-19,-2);(-18,-2);(-16,-3);(-14,-3);(-13,-2);(-11,-1);(-8,-1);(-6,1);(-5,2);(-3,5);(-3,6);(-3,7);(-2,9);(-1,10);(1,11);(2,11);(3,12);(4,13);(6,14);(9,16);(10,17);(0,0);(0,0);(0,0);(0,0);(0,0)"
223022,1164820875,1788947575333719731,False,-59,1,1,0,0,0,0,-128,0,128,70:cd:0d:c1:02:28,d8:47:32:79:d4:68,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(-1,-3);(0,-3);(1,-3);(1,-3);(2,-4);(3,-4);(3,-4);(4,-4);(5,-4);(5,-4);(6,-4);(6,-4);(7,-4);(7,-4);(8,-4);(9,-4);(9,-4);(10,-4);(10,-4);(11,-3);(11,-3);(11,-4);(11,-4);(11,-4);(12,-4);(12,-4);(0,0);(12,-5);(13,-6);(13,-6);(14,-6);(14,-6);(14,-7);(14,-7);(15,-7);(14,-7);(15,-6);(15,-7);(14,-6);(14,-7);(14,-7);(14,-8);(14,-8);(14,-8);(14,-9);(14,-9);(14,-9);(14,-9);(14,-8);(14,-8);(14,-8);(14,-8);(14,-8);(0,0);(0,0);(0,0);(0,0);(0,0)"
223023,1164823827,1788947575336863298,False,-44,1,1,1,7,1,1,-128,3438,372,d8:47:32:79:d4:68,ac:27:6e:a5:5b:c8,"(0,0);(0,0);(0,0);(0,0);(0,0);(0,0);(-4,4);(-4,5);(-5,6);(-5,6);(-6,6);(-5,7);(-6,7);(-5,7);(-5,7);(-6,7);(-6,7);(-6,8);(-6,7);(-6,7);(-6,7);(-5,7);(-5,7);(-4,7);(-4,7);(-3,7);(-3,7);(-2,7);(-1,8);(-1,8);(0,9);(0,9);(0,0);(0,10);(0,10);(0,10);(0,10);(-1,9);(-1,9);(-1,8);(-1,7);(0,5);(1,4);(2,3);(4,2);(6,2);(7,2);(9,3);(10,4);(10,5);(10,6);(10,7);(9,7);(7,7);(5,7);(4,6);(2,4);(1,1);(2,-2);(0,0);(0,0);(0,0);(0,0);(0,0);(-38,0);(0,0);(22,-26);(33,-5);(29,18);(11,30);(-11,32);(-27,18);(-32,-4);(-23,-22);(-5,-31);(15,-26);(28,-10);(29,10);(16,25);(-3,29);(-21,21);(-28,4);(-24,-15);(-11,-25);(6,-27);(20,-16);(25,-1);(20,15);(7,24);(-8,22);(-19,12);(-23,-3);(-15,-16);(-5,-22);(10,-20);(21,-12);(22,3);(15,15);(2,23);(-14,20);(-22,7);(-24,-8);(-12,-21);(1,-24);(15,-18);(20,-5);(18,9);(8,21);(-6,21);(-19,12);(-24,-1);(-17,-16);(-5,-23);(10,-21);(19,-10);(20,5);(11,18);(-4,22);(-17,16);(-22,2);(-18,-12);(-7,-21);(7,-17);(0,0);(0,0);(0,0);(0,0);(3,-2);(3,0);(3,2);(0,4);(-2,4);(-4,1);(-4,-1);(-5,-3);(-3,-5);(1,-5);(3,-5);(5,-1);(5,3);(2,5);(-1,6);(-3,4);(-6,1);(-6,-4);(-4,-6);(1,-7);(4,-6);(8,0);(6,3);(3,8);(-2,7);(-7,5);(-10,1);(-9,-5);(-6,-11);(3,-12);(9,-8);(12,-1);(10,8);(4,14);(-5,14);(-13,8);(-19,-2);(-15,-13);(-3,-20);(10,-19);(21,-8);(20,8);(11,19);(-4,23);(-18,17);(-24,3);(-21,-15);(-8,-26);(10,-26);(23,-14);(27,5);(19,23);(0,30);(-18,24);(-31,7);(-30,-15);(-15,-31);(0,0);(0,0)"
