session_dir,label,person_id,motion,start_ts,duration_s,transport_used,board_mac,ap_source,sample_count
authorized/2026-09-09/20260909_152250_anjali,authorized,anjali,walking,1788947570.531655,300.11800932884216,tcp,ac:27:6e:a5:5b:c8,home-router,65704
authorized/2026-09-09/20260909_154313_barath,authorized,barath,walking,1788948793.5696754,300.00555396080017,tcp,ac:27:6e:a5:5b:c8,home-router,60991
authorized/2026-09-09/20260909_155546_barath,authorized,barath,walking,1788949546.8598192,300.0106701850891,tcp,ac:27:6e:a5:5b:c8,home-router,64747
authorized/2026-09-09/20260909_160122_barath,authorized,barath,walking,1788949882.395846,300.0069534778595,tcp,ac:27:6e:a5:5b:c8,home-router,65588
authorized/2026-09-09/20260909_162219_anjali,authorized,anjali,walking,1788951139.7173963,300.01192140579224,tcp,ac:27:6e:a5:5b:c8,home-router,64487
authorized/2026-09-09/20260909_162905_anjali,authorized,anjali,standing,1788951545.1693726,300.01291847229004,tcp,ac:27:6e:a5:5b:c8,home-router,65060
authorized/2026-09-09/20260909_163531_barath,authorized,barath,standing,1788951931.8857093,300.00409984588623,tcp,ac:27:6e:a5:5b:c8,home-router,62295
authorized/2026-09-09/20260909_164242_anjali,authorized,anjali,standing,1788952362.7543378,300.0118672847748,tcp,ac:27:6e:a5:5b:c8,home-router,55529
none/2026-09-09/20260909_150547,none,,,1788946547.491724,180.0318193435669,tcp,ac:27:6e:a5:5b:c8,home-router,44390
none/2026-09-09/20260909_150907,none,,,1788946747.2681074,111.59463906288147,tcp,ac:27:6e:a5:5b:c8,home-router,19838
none/2026-09-09/20260909_151101,none,,,1788946861.7606711,180.00474047660828,tcp,ac:27:6e:a5:5b:c8,home-router,52970
none/2026-09-09/20260909_151419,none,,,1788947059.149322,240.0041482448578,tcp,ac:27:6e:a5:5b:c8,home-router,49470
none/2026-09-09/20260909_151829,none,,,1788947309.1293406,240.0137448310852,tcp,ac:27:6e:a5:5b:c8,home-router,50893
none/2026-09-09/20260909_152953,none,,,1788947993.7853522,240.00415754318237,tcp,ac:27:6e:a5:5b:c8,home-router,50646
none/2026-09-09/20260909_153421,none,,,1788948261.9446254,240.0040590763092,tcp,ac:27:6e:a5:5b:c8,home-router,50683
none/2026-09-09/20260909_153828,none,,,1788948508.1083925,240.005277633667,tcp,ac:27:6e:a5:5b:c8,home-router,41563
none/2026-09-09/20260909_154916,none,,,1788949156.9807389,240.01422715187073,tcp,ac:27:6e:a5:5b:c8,home-router,48801
none/2026-09-09/20260909_160646,none,,,1788950206.7532866,500.0084578990936,tcp,ac:27:6e:a5:5b:c8,home-router,110266
none/2026-09-09/20260909_161636,none,,,1788950796.4984825,240.0042209625244,tcp,ac:27:6e:a5:5b:c8,home-router,53363
unauthorized/2026-09-09/20260909_164850_divya,unauthorized,divya,walking,1788952730.5213492,120.00442266464233,tcp,ac:27:6e:a5:5b:c8,home-router,28633
unauthorized/2026-09-09/20260909_165138_divya,unauthorized,divya,standing,1788952898.2616765,120.02178740501404,tcp,ac:27:6e:a5:5b:c8,home-router,24804
unauthorized/2026-09-09/20260909_165415_manas,unauthorized,manas,standing,1788953055.307165,120.00212168693542,tcp,ac:27:6e:a5:5b:c8,home-router,26296
unauthorized/2026-09-09/20260909_165634_manas,unauthorized,manas,walking,1788953194.5805295,120.00190162658691,tcp,ac:27:6e:a5:5b:c8,home-router,27148
unauthorized/2026-09-09/20260909_165906_harshitha,unauthorized,harshitha,walking,1788953346.5550876,120.02153158187866,tcp,ac:27:6e:a5:5b:c8,home-router,25786
unauthorized/2026-09-09/20260909_170134_harshitha,unauthorized,harshitha,standing,1788953494.200343,120.01270127296448,tcp,ac:27:6e:a5:5b:c8,home-router,27652
unauthorized/2026-09-09/20260909_170448_sumanth,unauthorized,sumanth,standing,1788953688.1942039,120.00247955322266,tcp,ac:27:6e:a5:5b:c8,home-router,30038
unauthorized/2026-09-09/20260909_170705_sumanth,unauthorized,sumanth,walking,1788953825.9962068,120.01449942588806,tcp,ac:27:6e:a5:5b:c8,home-router,24822
unauthorized/2026-09-09/20260909_171050_siva,unauthorized,siva,walking,1788954050.5333412,120.00847673416138,tcp,ac:27:6e:a5:5b:c8,home-router,23321
unauthorized/2026-09-09/20260909_171311_siva,unauthorized,siva,standing,1788954191.4124794,120.07123565673828,tcp,ac:27:6e:a5:5b:c8,home-router,26856
unauthorized/2026-09-09/20260909_171537_vishwa,unauthorized,vishwa,standing,1788954337.2373397,120.00334191322327,tcp,ac:27:6e:a5:5b:c8,home-router,26745
unauthorized/2026-09-09/20260909_171758_vishwa,unauthorized,vishwa,walking,1788954478.550341,120.00273537635803,tcp,ac:27:6e:a5:5b:c8,home-router,27167
unauthorized/2026-09-09/20260909_172036_kishore,unauthorized,kishore,walking,1788954636.5398717,120.01192736625671,tcp,ac:27:6e:a5:5b:c8,home-router,24798
unauthorized/2026-09-09/20260909_172301_kishore,unauthorized,kishore,standing,1788954781.0360389,120.02188205718994,tcp,ac:27:6e:a5:5b:c8,home-router,25058
unauthorized/2026-09-09/20260909_172558_vasu,unauthorized,vasu,standing,1788954958.163269,120.01265835762024,tcp,ac:27:6e:a5:5b:c8,home-router,27828
unauthorized/2026-09-09/20260909_172812_vasu,unauthorized,vasu,walking,1788955092.8988636,120.01211380958557,tcp,ac:27:6e:a5:5b:c8,home-router,27302
unauthorized/2026-09-09/20260909_173036_sai,unauthorized,sai,walking,1788955236.2720647,120.01270818710327,tcp,ac:27:6e:a5:5b:c8,home-router,28011
unauthorized/2026-09-09/20260909_173254_sai,unauthorized,sai,standing,1788955374.1040208,120.01200747489929,tcp,ac:27:6e:a5:5b:c8,home-router,27697
