model,split_type,held_out,session_dir,y_true,mean_proba,n_windows,window_accuracy,majority_pred
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-15/20260915_160607_anjali,1,0.69499815,340,0.961764705882353,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-15/20260915_161737_barath,1,0.737419,457,0.986870897155361,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_142654_anjali,1,0.6738655,578,0.9602076124567474,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_144318_anjali,1,0.6540414,604,0.8940397350993378,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_145921_anjali,1,0.65152913,594,0.898989898989899,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_152556_barath,1,0.71226966,570,0.9543859649122807,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_153337_barath,1,0.7049585,586,0.9590443686006825,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_170839_barath,1,0.6995735,276,0.9601449275362319,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_171125_barath,1,0.6689838,262,0.9236641221374046,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-17/20260917_181415_anjali,1,0.7981106,277,1.0,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-17/20260917_185221_barath,1,0.7130614,286,0.951048951048951,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-21/20260921_172059_anjali,1,0.54451454,2587,0.6304599922690375,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-22/20260922_130435_anjali,1,0.5579036,2385,0.6792452830188679,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-22/20260922_130957_barath,1,0.69538414,2591,0.8876881512929371,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-22/20260922_141852_anjali,1,0.5983693,2580,0.7465116279069768,1
gnn_subcarrier,open_set_loo_stranger,abdul,authorized/2026-09-22/20260922_143709_barath,1,0.7053425,2522,0.8980967486122126,1
gnn_subcarrier,open_set_loo_stranger,abdul,none/2026-09-15/20260915_152301,0,0.08415361,677,0.982274741506647,0
