model,split_type,held_out,session_dir,y_true,majority_pred,window_accuracy,mean_proba,n_windows,source_log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-15/20260915_160607_anjali,1,0,0.0,-1.0,340,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-15/20260915_161737_barath,1,0,0.0,-1.0,457,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_142654_anjali,1,0,0.0,-1.0,578,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_144318_anjali,1,0,0.0,-1.0,604,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_145921_anjali,1,0,0.0,-1.0,594,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_152556_barath,1,0,0.0,-1.0,570,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_153337_barath,1,0,0.0,-1.0,586,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_170839_barath,1,0,0.0,-1.0,276,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-16/20260916_171125_barath,1,0,0.0,-1.0,262,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-17/20260917_181415_anjali,1,0,0.0,-1.0,277,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-17/20260917_185221_barath,1,0,0.0,-1.0,286,train_arcface.log
arcface_embedding,open_set_loo_stranger,abdul,authorized/2026-09-21/20260921_172059_anjali,1,0,0.0,-1.0,2587,train_arcface.log
arcface_embedding,open_set_loo_stranger,divya,none/2026-09-15/20260915_152301,0,1,0.186,-1.0,677,train_arcface.log
arcface_embedding,open_set_loo_stranger,divya,authorized/2026-09-16/20260916_153337_barath,1,0,0.218,-1.0,586,train_arcface.log
arcface_embedding,open_set_loo_stranger,divya,none/2026-09-15/20260915_175702,0,1,0.219,-1.0,301,train_arcface.log
arcface_embedding,open_set_loo_stranger,divya,none/2026-09-15/20260915_182121,0,1,0.22,-1.0,295,train_arcface.log
arcface_embedding,open_set_loo_stranger,divya,authorized/2026-09-16/20260916_142654_anjali,1,0,0.232,-1.0,578,train_arcface.log
arcface_embedding,open_set_loo_stranger,divya,authorized/2026-09-16/20260916_170839_barath,1,0,0.243,-1.0,276,train_arcface.log
